Nationality,Age_at_studystart,Study_programme,Study_programme_code,Studystart_date,Studystart_month,Studystart_year,Studyend_month,Studyend_year,University_institute,Status,Exam_year,Exam_grade_point_average,Grading_scale,Exam_type,Priority_number,Quote,Passed_ects_SEM1,Grade_point_average_SEM1,SU_clips_used,Years_since_exam,CHURNED_ALL,CHURNED_IN_SEM1,CHURNED_IN_SEM2,CHURNED_AFTER_SEM1,CHURNED_AFTER_SEM2,CHURNED_SEM2THROUGHSEM3
Danmark,20.7,litteraturvidenskab,HFMA00001T,9/1/2013,9,2013,4,2013,Saxo-Instituttet - Arkaeologi. Etnologi. Historie og Graesk og Latin,terminated,2013,8,7-trinsskala,Studentereksamen (2008 og senere),1,2,30,7,30,1,1,1,0,0,0,0
Danmark,22.4,dansk,HRVA00001T,9/1/2013,9,2013,9,2015,Institut for Kunst og Kulturvidenskab,completed,2015,4.9,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,0,NULL,1,0,0,0,0,0,0
Danmark,20.9,informationsvidenskab og kulturformidling,HTEA00001T,9/1/2014,9,2013,7,2015,Saxo-Instituttet - Arkaeologi. Etnologi. Historie og Graesk og Latin,completed,2013,4.8,7-trinsskala,Studentereksamen,21,1,30,7.75,14,1,0,1,0,0,0,0
Danmark,21.3,paedagogik,HTEA00001T,9/1/2016,9,2013,9,2014,Institut for Engelsk. Germansk og Romansk,completed,2012,4.1,7-trinsskala,Studentereksamen (2008 og senere),6,1,0,7,NULL,23,0,1,0,0,0,0
Sverige,19.9,audiologopaedi,HKMA00001T,9/1/2014,9,2013,8,2015,Institut for Medier. Erkendelse og Formidling,terminated,2012,8.5,7-trinsskala,Studentereksamen (2008 og senere),1,1,0,0,NULL,3,1,1,0,1,1,0
Danmark,20.1,portugisiske og brasilianske studier,HLIA00001T,9/1/2014,9,2013,9,2013,Institut for Medier. Erkendelse og Formidling,terminated,2008,4.8,,Studentereksamen,1,1,30,0,6,1,1,1,1,1,0,0
Danmark,25.9,engelsk,HHIA00001T,9/1/2016,9,2013,7,2013,Institut for Tvaerkulturelle og regionale studier,completed,2013,7.1,7-trinsskala,Studentereksamen (2008 og senere),1,2,30,7.4,NULL,3,0,1,0,0,0,0
Danmark,46.8,filosofi,HFRA00001T,9/1/2013,9,2013,8,2015,Institut for Nordiske Studier og Sprogvidenskab,terminated,2013,0,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,-3,NULL,2,1,1,0,1,1,1
Danmark,47.7,tysk sprog og kultur,HTYA00001T,9/1/2016,9,2013,5,2015,Saxo-Instituttet - Arkaeologi. Etnologi. Historie og Graesk og Latin,terminated,2011,9.1,7-trinsskala,Studentereksamen (2008 og senere),3,1,30,0.33,6,2,1,1,0,1,1,1
Danmark,22.1,religionsvidenskab,HFRA00001T,9/1/2014,9,2013,2,2014,Institut for Engelsk. Germansk og Romansk,completed,2013,9.5,7-trinsskala,Hoejere forbered.eks. 2-aarig (2007 og s.),1,NULL,30,9,NULL,2,0,1,0,0,0,0
